,Unnamed: 0,id,time,airtemp_level1000,pr_wtr,pres,rhum,omega,uwnd,vwnd,wspd,date,"Population, total",Urban population,Rural population,GDP (current US$),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Methane emissions (kt of CO2 equivalent),Total greenhouse gas emissions (kt of CO2 equivalent),Other greenhouse gas emissions,CO2 emissions from solid fuel consumption (kt),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions (kt),CO2 emissions (metric tons per capita),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Agricultural land (sq. km)
1954478,1954478,5786,2014-12-01,14.85301275,11.753629,991.2895325,44.42338675000001,-0.0008548909000000003,0.58891194,0.4606864525000001,3.9154365,2014-12-01,199364.97371246145,48173.30169412273,151191.67201833872,1239479243.0778835,5.664287850622627,51.724524453939715,198.05169605774785,174.90137212533162,0.03922068165022476,0.03922068165022476,31.74260501558191,0.0291999679940264,0.0291999679940264,8.771618666791849,6.4476953314939225,6616.284065674678
1954479,1954479,5786,2015-01-01,12.015514,9.405241499999999,993.39441,41.38306575,0.006318489500000002,1.557259115,0.220363885,4.079208975,2015-01-01,198980.68965140113,48089.668189084696,150891.02146231645,1191150668.6577644,5.535354093363495,53.96239572671912,197.7776589695948,171.44891979902118,0.052294242200299684,0.052294242200299684,32.88000478343843,0.02856167157656957,0.02856167157656957,8.640688240100838,6.249621303283075,6616.284065674678
1954480,1954480,5786,2015-02-01,15.81539025,10.044865875,987.028585,25.64955325,-0.008636233999999998,0.34977750500000004,0.4977687375000001,4.17109575,2015-02-01,198595.65806097878,48005.84676649127,150589.81129448753,1185262578.905433,5.535354093363495,53.96239572671912,197.7776589695948,171.44891979902118,0.052294242200299684,0.052294242200299684,32.88000478343843,0.02856167157656957,0.02856167157656957,8.640688240100838,6.249621303283075,6616.284065674678
1954481,1954481,5786,2015-03-01,19.7886995,12.21794325,988.152675,27.40120925,-0.012838782025000002,-0.07177328250000004,-0.90665225,4.309766975,2015-03-01,198247.29290741528,47929.98388157624,150317.30902583912,1179944304.290424,5.535354093363495,53.96239572671912,197.7776589695948,171.44891979902118,0.052294242200299684,0.052294242200299684,32.88000478343843,0.02856167157656957,0.02856167157656957,8.640688240100838,6.249621303283075,6616.284065674678
1954482,1954482,5786,2015-04-01,23.533325500000004,11.305625,989.4837925,24.9250005,-0.011829233425,-0.5445823350000001,-1.17395717,3.937578925,2015-04-01,197860.99737142434,47845.83111500826,150015.1662564161,1174056214.5380926,5.535354093363495,53.96239572671912,197.7776589695948,171.44891979902118,0.052294242200299684,0.052294242200299684,32.88000478343843,0.02856167157656957,0.02856167157656957,8.640688240100838,6.249621303283075,6616.284065674678
1954483,1954483,5786,2015-05-01,29.281238000000002,13.60383075,985.486525,20.3729845,-0.012762176875,-0.362700675,-0.6048377625,4.0044224999999996,2015-05-01,197486.6094038912,47764.23897948894,149722.3704244023,1168358063.1648688,5.535354093363495,53.96239572671912,197.7776589695948,171.44891979902118,0.052294242200299684,0.052294242200299684,32.88000478343843,0.02856167157656957,0.02856167157656957,8.640688240100838,6.249621303283075,6616.284065674678
1954484,1954484,5786,2015-06-01,31.33269275,16.267917125,984.711095,21.6354165,-0.02807091,-1.181665645,-2.95937425,4.367562775,2015-06-01,197099.22566960726,47679.776362518496,149419.44930708886,1162469973.4125373,5.535354093363495,53.96239572671912,197.7776589695948,171.44891979902118,0.052294242200299684,0.052294242200299684,32.88000478343843,0.02856167157656957,0.02856167157656957,8.640688240100838,6.249621303283075,6616.284065674678
1954485,1954485,5786,2015-07-01,32.82680125,17.918549,983.271825,22.44556425,-0.033673442000000005,0.07379115949999994,-3.0425395250000005,3.48351855,2015-07-01,196723.8921405504,47597.90047064074,149125.99166990965,1156771822.0393133,5.535354093363495,53.96239572671912,197.7776589695948,171.44891979902118,0.052294242200299684,0.052294242200299684,32.88000478343843,0.02856167157656957,0.02856167157656957,8.640688240100838,6.249621303283075,6616.284065674678
1954486,1954486,5786,2015-08-01,34.01490425,22.8129055,982.885325,24.8568545,-0.03000612855,-1.10524097,-3.3163297,4.1574076,2015-08-01,196335.6424440768,47513.16127426532,148822.48116981145,1150883732.286982,5.535354093363495,53.96239572671912,197.7776589695948,171.44891979902118,0.052294242200299684,0.052294242200299684,32.88000478343843,0.02856167157656957,0.02856167157656957,8.640688240100838,6.249621303283075,6616.284065674678
1954487,1954487,5786,2015-09-01,31.742903000000005,20.95958375,984.63146,24.08749975,-0.02310009275,-1.255624025,-2.163540775,3.822389425,2015-09-01,195947.0378360692,47428.29427159791,148518.7435644713,1144995642.5346506,5.535354093363495,53.96239572671912,197.7776589695948,171.44891979902118,0.052294242200299684,0.052294242200299684,32.88000478343843,0.02856167157656957,0.02856167157656957,8.640688240100838,6.249621303283075,6616.284065674678
